Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  0  0  0  0  33203  33797
0  1  0  0  0  0  0  0
0  2  0  0  0  0  33188  33797
0  3  0  0  0  0  0  0
0  4  0  0  0  0  0  0
0  5  0  0  0  0  0  0
0  6  0  0  0  0  0  0
0  7  0  0  0  0  0  0
0  8  0  0  0  0  0  0
0  9  0  0  0  0  0  0
0  10  0  0  0  0  0  0
0  11  0  0  0  0  0  0
0  12  0  0  0  0  0  0
0  13  0  0  0  0  0  0
0  14  0  0  0  0  0  0
0  15  0  0  0  0  0  0

1  0  0  0  0  0  0  0
1  1  0  0  0  0  0  0
1  2  0  0  0  0  19330  33784
1  3  0  0  0  0  0  0
1  4  0  0  0  0  0  0
1  5  0  0  0  0  0  0
1  6  0  0  0  0  0  0
1  7  0  0  0  0  0  0
1  8  0  0  0  0  0  0
1  9  0  0  0  0  19124  33784
1  10  0  0  0  0  18943  33784
1  11  0  0  0  0  0  0
1  12  0  0  0  0  18721  33784
1  13  0  0  0  0  0  0
1  14  0  0  0  0  0  0
1  15  0  0  0  0  0  0

2  0  0  0  0  0  0  0
2  1  0  0  0  0  0  0
2  2  0  0  0  0  0  0
2  3  0  0  0  0  33188  33788
2  4  0  0  0  0  0  0
2  5  0  0  0  0  0  0
2  6  0  0  0  0  0  0
2  7  0  0  0  0  0  0
2  8  0  0  0  0  0  0
2  9  0  0  0  0  33170  33788
2  10  0  0  0  0  0  0
2  11  0  0  0  0  0  0
2  12  0  0  0  0  0  0
2  13  0  0  0  0  0  0
2  14  0  0  0  0  0  0
2  15  0  0  0  0  0  0

3  0  0  0  0  0  0  0
3  1  0  0  0  0  0  0
3  2  0  0  0  0  0  0
3  3  0  0  0  0  0  0
3  4  0  0  0  0  0  0
3  5  0  0  0  0  0  0
3  6  0  0  0  0  0  0
3  7  0  0  0  0  0  0
3  8  0  0  0  0  0  0
3  9  0  0  0  0  0  0
3  10  0  0  0  0  0  0
3  11  0  0  0  0  0  0
3  12  0  0  0  0  0  0
3  13  0  0  0  0  0  0
3  14  3  136  761  0  55446  55446
3  15  3  1192  22  60  132664  132664

4  0  0  0  0  0  0  0
4  1  0  0  0  0  0  0
4  2  0  0  0  0  0  0
4  3  0  0  0  0  0  0
4  4  0  0  0  0  0  0
4  5  0  0  0  0  0  0
4  6  0  0  0  0  0  0
4  7  0  0  0  0  0  0
4  8  0  0  0  0  0  0
4  9  0  0  0  0  0  0
4  10  0  0  0  0  0  0
4  11  0  0  0  0  0  0
4  12  0  0  0  0  0  0
4  13  0  0  0  0  0  0
4  14  0  0  0  0  0  0
4  15  0  0  0  0  0  0
